epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,213.35,0.55642,0.84738,0.68658,0.90079,0.52044,0.25515,0.26902,0.2081,0.51404,0.23954,0.26098,0.18241,1.36196,3.42166,2.23318,1.51255,0.000501942,0.000501942,0.000501942
32,219.523,0.54796,0.7947,0.7378,0.91185,0.72302,0.66738,0.67497,0.56355,0.70809,0.67033,0.64001,0.46027,0.59223,1.25759,1.14279,0.95723,0.000494873,0.000494873,0.000494873
33,226.747,0.54568,0.80333,0.68186,0.90635,0.72527,0.7636,0.80769,0.69565,0.71272,0.73521,0.76972,0.55133,0.59447,1.0027,0.91487,0.94745,0.000487805,0.000487805,0.000487805
34,233.915,0.60615,0.75009,0.75554,0.91548,0.82362,0.70732,0.81784,0.70418,0.80203,0.66609,0.76906,0.55646,0.55881,1.05933,0.86584,0.91962,0.000480736,0.000480736,0.000480736
35,241.114,0.55075,0.76993,0.68504,0.894,0.88868,0.7448,0.83184,0.71235,0.84122,0.71509,0.77227,0.57463,0.51794,0.98926,0.60925,0.89687,0.000473668,0.000473668,0.000473668
36,248.319,0.57743,0.88847,0.71125,0.91457,0.67979,0.65691,0.67977,0.58475,0.63231,0.63232,0.62809,0.46434,nan,nan,nan,nan,0.000466599,0.000466599,0.000466599
37,254.493,0.5416,0.75925,0.66614,0.91013,0.87507,0.68401,0.75593,0.64216,0.81078,0.65454,0.70106,0.50801,nan,nan,nan,nan,0.00045953,0.00045953,0.00045953
38,260.521,0.52629,0.6919,0.60417,0.89128,0.83933,0.54637,0.62725,0.53374,0.81447,0.52737,0.58914,0.42987,nan,nan,nan,nan,0.000452462,0.000452462,0.000452462
39,266.549,0.55057,0.70064,0.67211,0.88901,0.79541,0.4452,0.59758,0.45836,0.70709,0.46055,0.48603,0.34719,nan,nan,nan,nan,0.000445393,0.000445393,0.000445393
40,272.745,0.48011,0.61486,0.58761,0.86698,0.7845,0.69196,0.73029,0.61061,0.76978,0.63698,0.69488,0.52631,nan,nan,nan,nan,0.000438325,0.000438325,0.000438325
